<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;60;20171019;090000;57.3981000;57.4213000;57.3642000;57.3992000;1082
USDRUB;60;20171019;100000;57.4058000;57.4164000;57.3183000;57.3605000;1793
USDRUB;60;20171019;110000;57.3563000;57.5890000;57.3075000;57.4789000;24150
USDRUB;60;20171019;120000;57.4751000;57.7345000;57.4132000;57.5746000;27686
USDRUB;60;20171019;130000;57.5765000;57.6063000;57.4353000;57.5345000;15844
USDRUB;60;20171019;140000;57.5486000;57.6054000;57.4136000;57.5808000;16630
USDRUB;60;20171019;150000;57.5787000;57.6296000;57.4774000;57.5363000;15944
USDRUB;60;20171019;160000;57.5374000;57.6394000;57.4811000;57.6063000;20234
USDRUB;60;20171019;170000;57.5981000;57.6200000;57.4580000;57.5276000;17401
USDRUB;60;20171019;180000;57.5286000;57.5621000;57.2720000;57.3200000;19705
USDRUB;60;20171019;190000;57.3044000;57.3717000;57.2545000;57.3638000;16236
USDRUB;60;20171019;200000;57.3663000;57.4204000;57.3381000;57.3538000;9915
USDRUB;60;20171019;210000;57.3413000;57.3760000;57.3195000;57.3647000;5409
USDRUB;60;20171019;220000;57.3654000;57.3810000;57.3266000;57.3605000;6303
